,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
0,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_099.cnf,SATISFIABLE,mc,log10-estimate,16.8420316094814,exact,arb,int,69507490574655424,False,False,174.26459670066833,unknown,False
1,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_070.cnf,SATISFIABLE,mc,log10-estimate,10.307119083385,exact,arb,int,20282387856,False,False,0.8996458053588867,unknown,False
2,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_077.cnf,SATISFIABLE,mc,log10-estimate,9.89005979462128,exact,arb,int,7763539994,False,False,0.1480727195739746,unknown,False
3,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_024.cnf,SATISFIABLE,mc,log10-estimate,12.4250933470593,exact,arb,int,2661297016304,False,False,1.2183988094329834,unknown,False
4,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_021.cnf,SATISFIABLE,mc,log10-estimate,13.2888851298691,exact,arb,int,19448456053254,False,False,4.332322597503662,unknown,False
5,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_097.cnf,SATISFIABLE,mc,log10-estimate,17.2580250717733,exact,arb,int,181144466410502471,True,False,361.75596046447754,unknown,False
6,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_067.cnf,SATISFIABLE,mc,log10-estimate,9.70884476173188,exact,arb,int,5114989679,False,False,0.10816812515258789,unknown,False
7,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_043.cnf,SATISFIABLE,mc,log10-estimate,7.34443772484227,exact,arb,int,22102313,False,False,0.08876848220825195,unknown,False
8,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_051.cnf,SATISFIABLE,mc,log10-estimate,7.0850752689662,exact,arb,int,12163968,False,False,0.07555532455444336,unknown,False
9,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_045.cnf,SATISFIABLE,mc,log10-estimate,7.63354191583293,exact,arb,int,43007274,False,False,0.08400416374206543,unknown,False
10,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_003.cnf,,,,,,,,,True,False,361.83525824546814,unknown,False
11,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_006_s400563_029.cnf,SATISFIABLE,mc,log10-estimate,9.27253901927482,exact,arb,int,1873005356,False,False,0.07492542266845703,unknown,False
12,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_038.cnf,SATISFIABLE,mc,log10-estimate,7.44368254013595,exact,arb,int,27776821,False,False,0.06229424476623535,unknown,False
13,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_017.cnf,SATISFIABLE,mc,log10-estimate,12.2447132627512,exact,arb,int,1756763350962,False,False,3.0814871788024902,unknown,False
14,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_029.cnf,SATISFIABLE,mc,log10-estimate,12.0922424204927,exact,arb,int,1236637524239,False,False,3.0577566623687744,unknown,False
15,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_078.cnf,SATISFIABLE,mc,log10-estimate,10.0922439607947,exact,arb,int,12366419102,False,False,0.11720085144042969,unknown,False
16,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_039.cnf,SATISFIABLE,mc,log10-estimate,3.58433122436753,exact,arb,int,3840,False,False,0.038408517837524414,unknown,False
17,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_050.cnf,SATISFIABLE,mc,log10-estimate,9.41857373392267,exact,arb,int,2621644100,False,False,0.09495329856872559,unknown,False
18,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_054.cnf,SATISFIABLE,mc,log10-estimate,8.84825543516324,exact,arb,int,705107664,False,False,0.05476498603820801,unknown,False
19,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_034.cnf,SATISFIABLE,mc,log10-estimate,6.32872119561477,exact,arb,int,2131676,False,False,0.0601041316986084,unknown,False
20,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_040.cnf,SATISFIABLE,mc,log10-estimate,8.63707508961754,exact,arb,int,433585839,False,False,0.08166813850402832,unknown,False
21,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_087.cnf,SATISFIABLE,mc,log10-estimate,13.4979838944339,exact,arb,int,31476315837932,False,False,7.255306243896484,unknown,False
22,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_080.cnf,SATISFIABLE,mc,log10-estimate,11.2425004916421,exact,arb,int,174783524105,False,False,0.43291163444519043,unknown,False
23,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_046.cnf,SATISFIABLE,mc,log10-estimate,3.6414741105041,exact,arb,int,4380,False,False,0.03766655921936035,unknown,False
24,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_008.cnf,SATISFIABLE,mc,log10-estimate,15.6643627243741,exact,arb,int,4617030296667706,False,False,16.99064826965332,unknown,False
25,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_046.cnf,SATISFIABLE,mc,log10-estimate,5.84975099725388,exact,arb,int,707540,False,False,0.0684669017791748,unknown,False
26,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_083.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,arb,int,0,False,False,0.04067230224609375,unknown,False
27,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_058.cnf,SATISFIABLE,mc,log10-estimate,7.41165465011334,exact,arb,int,25802076,False,False,0.0498499870300293,unknown,False
28,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_047.cnf,SATISFIABLE,mc,log10-estimate,9.98334050600007,exact,arb,int,9623665204,False,False,0.09976506233215332,unknown,False
29,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_026.cnf,SATISFIABLE,mc,log10-estimate,9.9820507434042,exact,arb,int,9595127354,False,False,0.0697481632232666,unknown,False
30,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_005.cnf,,,,,,,,,True,False,361.86941480636597,unknown,False
31,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_021.cnf,SATISFIABLE,mc,log10-estimate,11.749265196043,exact,arb,int,561390677002,False,False,0.2304532527923584,unknown,False
32,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_030.cnf,SATISFIABLE,mc,log10-estimate,11.4518833175135,exact,arb,int,283063138406,False,False,0.6252617835998535,unknown,False
33,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_001.cnf,,,,,,,,,True,False,361.81454396247864,unknown,False
34,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_050.cnf,SATISFIABLE,mc,log10-estimate,3.35793484700045,exact,arb,int,2280,False,False,0.0542597770690918,unknown,False
35,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_021.cnf,SATISFIABLE,mc,log10-estimate,12.7445353186837,exact,arb,int,5553097754480,False,False,5.365361452102661,unknown,False
36,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_012.cnf,SATISFIABLE,mc,log10-estimate,14.1964532775178,exact,arb,int,157200266340314,False,False,9.043771743774414,unknown,False
37,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_042.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,arb,int,0,False,False,0.030459165573120117,unknown,False
38,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_074.cnf,SATISFIABLE,mc,log10-estimate,9.53043681269592,exact,arb,int,3391851365,False,False,0.07996630668640137,unknown,False
39,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_048.cnf,SATISFIABLE,mc,log10-estimate,6.44981028006364,exact,arb,int,2817152,False,False,0.01894402503967285,unknown,False
40,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_021.cnf,SATISFIABLE,mc,log10-estimate,10.5976972682529,exact,arb,int,39600189872,False,False,0.34917426109313965,unknown,False
41,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_092.cnf,SATISFIABLE,mc,log10-estimate,14.3353976585266,exact,arb,int,216469970781926,False,False,30.431487798690796,unknown,False
42,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_021.cnf,SATISFIABLE,mc,log10-estimate,13.8691600428729,exact,arb,int,73987787894986,False,False,2.5443532466888428,unknown,False
43,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_089.cnf,SATISFIABLE,mc,log10-estimate,14.1579245430702,exact,arb,int,143854861447133,False,False,16.885876417160034,unknown,False
44,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_018.cnf,SATISFIABLE,mc,log10-estimate,14.7320632149691,exact,arb,int,539589158234532,False,False,63.360442876815796,unknown,False
45,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_079.cnf,SATISFIABLE,mc,log10-estimate,8.42660437908248,exact,arb,int,267057254,False,False,0.11841559410095215,unknown,False
46,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_049.cnf,SATISFIABLE,mc,log10-estimate,8.40020676667466,exact,arb,int,251308262,False,False,0.09069705009460449,unknown,False
47,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_024.cnf,SATISFIABLE,mc,log10-estimate,13.7634943620437,exact,arb,int,58008864183615,False,False,24.358970642089844,unknown,False
48,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_042.cnf,SATISFIABLE,mc,log10-estimate,10.4826711298841,exact,arb,int,30385831828,False,False,0.32566213607788086,unknown,False
49,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_044.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,arb,int,0,False,False,0.021524429321289062,unknown,False
50,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_011.cnf,SATISFIABLE,mc,log10-estimate,14.2491645999611,exact,arb,int,177486203575666,False,False,5.232844591140747,unknown,False
51,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_083.cnf,SATISFIABLE,mc,log10-estimate,13.7046246356671,exact,arb,int,50655270130246,False,False,8.25916051864624,unknown,False
52,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_034.cnf,SATISFIABLE,mc,log10-estimate,9.88693341548857,exact,arb,int,7707852859,False,False,0.47112250328063965,unknown,False
53,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_082.cnf,SATISFIABLE,mc,log10-estimate,13.2526491517187,exact,arb,int,17891598828793,False,False,4.460334777832031,unknown,False
54,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_033.cnf,SATISFIABLE,mc,log10-estimate,7.46175413604566,exact,arb,int,28957038,False,False,0.04047870635986328,unknown,False
55,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_021.cnf,SATISFIABLE,mc,log10-estimate,14.3602747841717,exact,arb,int,229231757530548,False,False,36.94346594810486,unknown,False
56,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_062.cnf,SATISFIABLE,mc,log10-estimate,8.79068734560865,exact,arb,int,617571642,False,False,0.06606864929199219,unknown,False
57,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_095.cnf,SATISFIABLE,mc,log10-estimate,15.462133023612,exact,arb,int,2898231174712489,False,False,31.387778282165527,unknown,False
58,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_035.cnf,SATISFIABLE,mc,log10-estimate,8.8957191938124,exact,arb,int,786537066,False,False,0.0930624008178711,unknown,False
59,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_022.cnf,SATISFIABLE,mc,log10-estimate,11.247546495818,exact,arb,int,176826151870,False,False,0.6773483753204346,unknown,False
60,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_043.cnf,SATISFIABLE,mc,log10-estimate,3.60162547955394,exact,arb,int,3996,False,False,0.040831804275512695,unknown,False
61,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_037.cnf,SATISFIABLE,mc,log10-estimate,9.969312731207,exact,arb,int,9317785986,False,False,0.0786280632019043,unknown,False
62,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_077.cnf,SATISFIABLE,mc,log10-estimate,12.4005629610698,exact,arb,int,2515144615182,False,False,0.8442070484161377,unknown,False
63,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_032.cnf,SATISFIABLE,mc,log10-estimate,10.1451823452841,exact,arb,int,13969547711,False,False,0.18207406997680664,unknown,False
64,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_011.cnf,SATISFIABLE,mc,log10-estimate,14.4546957570281,exact,arb,int,284902169939089,False,False,29.799304246902466,unknown,False
65,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_006_s400563_070.cnf,SATISFIABLE,mc,log10-estimate,8.84487398368127,exact,arb,int,699638957,False,False,0.1237635612487793,unknown,False
66,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_100.cnf,,,,,,,,,True,False,361.8208010196686,unknown,False
67,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_031.cnf,SATISFIABLE,mc,log10-estimate,11.2741597549806,exact,arb,int,188000824960,False,False,0.5538065433502197,unknown,False
68,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_073.cnf,SATISFIABLE,mc,log10-estimate,9.40740493765004,exact,arb,int,2555082560,False,False,0.0808875560760498,unknown,False
69,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_065.cnf,SATISFIABLE,mc,log10-estimate,8.43574136325414,exact,arb,int,272735307,False,False,0.04604077339172363,unknown,False
70,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_039.cnf,SATISFIABLE,mc,log10-estimate,9.27985565007278,exact,arb,int,1904827490,False,False,0.11904287338256836,unknown,False
71,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_036.cnf,SATISFIABLE,mc,log10-estimate,10.5660551600809,exact,arb,int,36817573296,False,False,0.12955737113952637,unknown,False
72,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_094.cnf,SATISFIABLE,mc,log10-estimate,15.9053329092271,exact,arb,int,8041423027369271,False,False,73.19001507759094,unknown,False
73,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_087.cnf,SATISFIABLE,mc,log10-estimate,12.8186293950655,exact,arb,int,6586116295366,False,False,1.8675081729888916,unknown,False
74,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_032.cnf,SATISFIABLE,mc,log10-estimate,11.0916733269154,exact,arb,int,123501811252,False,False,0.5220866203308105,unknown,False
75,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_006_s400563_063.cnf,SATISFIABLE,mc,log10-estimate,9.61449431805171,exact,arb,int,4116179620,False,False,0.1735999584197998,unknown,False
76,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_059.cnf,SATISFIABLE,mc,log10-estimate,8.86270990835342,exact,arb,int,728970424,False,False,0.04473686218261719,unknown,False
77,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_002.cnf,SATISFIABLE,mc,log10-estimate,17.9481828095872,exact,arb,int,887529525332754199,False,False,241.00729084014893,unknown,False
78,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_036.cnf,SATISFIABLE,mc,log10-estimate,9.63077733392123,exact,arb,int,4273437276,False,False,0.12022614479064941,unknown,False
79,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_045.cnf,SATISFIABLE,mc,log10-estimate,8.2854353924116,exact,arb,int,192945828,False,False,0.057300567626953125,unknown,False
80,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_026.cnf,SATISFIABLE,mc,log10-estimate,13.5442317726822,exact,arb,int,35013197432126,False,False,14.722564220428467,unknown,False
81,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_003.cnf,,,,,,,,,True,False,361.83163928985596,unknown,False
82,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_000_s400557_056.cnf,SATISFIABLE,mc,log10-estimate,9.52005609722533,exact,arb,int,3311738960,False,False,0.08272075653076172,unknown,False
83,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_052.cnf,SATISFIABLE,mc,log10-estimate,7.38053629802715,exact,arb,int,24017970,False,False,0.07718515396118164,unknown,False
84,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_098.cnf,,,,,,,,,True,False,361.7578010559082,unknown,False
85,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_031.cnf,SATISFIABLE,mc,log10-estimate,11.3215768391224,exact,arb,int,209689574834,False,False,0.4712870121002197,unknown,False
86,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_099.cnf,SATISFIABLE,mc,log10-estimate,17.0558922919973,exact,arb,int,113734518145697930,False,False,192.96336674690247,unknown,False
87,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_009.cnf,SATISFIABLE,mc,log10-estimate,15.097588716819,exact,arb,int,1251954993805307,False,False,13.873673677444458,unknown,False
88,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_091.cnf,SATISFIABLE,mc,log10-estimate,13.5069073579117,exact,arb,int,32129750856040,False,False,13.067293167114258,unknown,False
89,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_055.cnf,SATISFIABLE,mc,log10-estimate,6.58723140532372,exact,arb,int,3865729,False,False,0.0453801155090332,unknown,False
90,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_047.cnf,SATISFIABLE,mc,log10-estimate,8.49223647878022,exact,arb,int,310625052,False,False,0.04664802551269531,unknown,False
91,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_091.cnf,SATISFIABLE,mc,log10-estimate,13.3966265249218,exact,arb,int,24924504020296,False,False,4.488709926605225,unknown,False
92,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_004.cnf,,,,,,,,,True,False,361.84699392318726,unknown,False
93,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_050.cnf,SATISFIABLE,mc,log10-estimate,9.35572756895331,exact,arb,int,2268441422,False,False,0.11337471008300781,unknown,False
94,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_088.cnf,SATISFIABLE,mc,log10-estimate,13.7557361883081,exact,arb,int,56981803181068,False,False,10.422299861907959,unknown,False
95,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_069.cnf,SATISFIABLE,mc,log10-estimate,10.9319130348981,exact,arb,int,85489550758,False,False,0.2097184658050537,unknown,False
96,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_005_s400562_041.cnf,SATISFIABLE,mc,log10-estimate,10.4133863983793,exact,arb,int,25905167121,False,False,0.3648040294647217,unknown,False
97,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_057.cnf,SATISFIABLE,mc,log10-estimate,8.69680044751112,exact,arb,int,497508434,False,False,0.0720360279083252,unknown,False
98,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_007_s400564_048.cnf,SATISFIABLE,mc,log10-estimate,9.62564684831985,exact,arb,int,4223250560,False,False,0.05033135414123535,unknown,False
99,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_001_s400558_032.cnf,SATISFIABLE,mc,log10-estimate,11.2333667716753,exact,arb,int,171146007232,False,False,0.3152933120727539,unknown,False
100,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_068.cnf,SATISFIABLE,mc,log10-estimate,4.27669152884504,exact,arb,int,18910,False,False,0.034407615661621094,unknown,False
101,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_090.cnf,SATISFIABLE,mc,log10-estimate,12.5055684741032,exact,arb,int,3203085077072,False,False,3.929025650024414,unknown,False
102,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_008_s400565_024.cnf,SATISFIABLE,mc,log10-estimate,12.3722844639647,exact,arb,int,2356592352330,False,False,2.1704964637756348,unknown,False
103,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_003_s400560_038.cnf,SATISFIABLE,mc,log10-estimate,4.9318035413392,exact,arb,int,85468,False,False,0.05200839042663574,unknown,False
104,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_009_s400566_094.cnf,SATISFIABLE,mc,log10-estimate,15.5046202723697,exact,arb,int,3196099361595365,False,False,42.751338958740234,unknown,False
105,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_040.cnf,SATISFIABLE,mc,log10-estimate,9.02545224536007,exact,arb,int,1060357336,False,False,0.08960199356079102,unknown,False
106,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_002_s400559_016.cnf,SATISFIABLE,mc,log10-estimate,13.1455880291404,exact,arb,int,13982603063954,False,False,2.2621471881866455,unknown,False
107,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_006_s400563_027.cnf,SATISFIABLE,mc,log10-estimate,12.1014379744646,exact,arb,int,1263100696054,False,False,1.3924920558929443,unknown,False
108,gpmc,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn/chevu_004_s400561_081.cnf,SATISFIABLE,mc,log10-estimate,9.55819862500898,exact,arb,int,3615751916,False,False,0.06032204627990723,unknown,False
